note_style,note_style_label,error_taxonomy_conditions_overall,n
consult_note_short,Short consultation note,source_to_note_gap_or_generation_loss,7
consult_note_short,Short consultation note,exact_wording_gap_only,1
consult_note_short,Short consultation note,mixed_pipeline_error,1
consult_note_short,Short consultation note,under_extraction_from_note,1
health_check_summary,Health check summary,exact_wording_gap_only,4
health_check_summary,Health check summary,source_to_note_gap_or_generation_loss,3
health_check_summary,Health check summary,canonicalization_or_exact_match_gap,2
health_check_summary,Health check summary,under_extraction_from_note,1
medical_history_note,Medical history note,source_to_note_gap_or_generation_loss,5
medical_history_note,Medical history note,under_extraction_from_note,3
medical_history_note,Medical history note,canonicalization_or_exact_match_gap,1
medical_history_note,Medical history note,exact_wording_gap_only,1
telegraphic_note,Telegraphic note,exact_wording_gap_only,3
telegraphic_note,Telegraphic note,canonicalization_or_exact_match_gap,2
telegraphic_note,Telegraphic note,source_to_note_gap_or_generation_loss,2
telegraphic_note,Telegraphic note,complete_omission,1
telegraphic_note,Telegraphic note,recall_dominant_pipeline_error,1
telegraphic_note,Telegraphic note,under_extraction_from_note,1
